2min 22.382s installation-configuration.service
     55.396s NetworkManager-wait-online.service
     42.216s kdump.service
     19.088s restorecon-var-lib-containers.service
      7.599s sys-module-fuse.device
      7.424s dev-ttyS2.device
      7.424s sys-devices-platform-serial8250-tty-ttyS2.device
      7.421s sys-devices-pnp0-00:02-tty-ttyS1.device
      7.421s dev-ttyS1.device
      7.420s sys-devices-pnp0-00:03-tty-ttyS0.device
      7.420s dev-ttyS0.device
      7.411s dev-ttyS3.device
      7.411s sys-devices-platform-serial8250-tty-ttyS3.device
      7.370s sys-module-configfs.device
      6.228s sys-devices-pci0000:00-0000:00:14.0-usb1-1\x2d14-1\x2d14.4-1\x2d14.4.2-1\x2d14.4.2:1.0-host0-target0:0:0-0:0:0:0-block-sr0.device
      6.228s dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusb\x2d0:14.4.2:1.0\x2dscsi\x2d0:0:0:0.device
      6.228s dev-sr0.device
      6.228s dev-disk-by\x2did-usb\x2dLinux_Virtual_CD_DVD_1028_123456\x2d0:0.device
      6.228s dev-cdrom.device
      5.065s sys-devices-pci0000:85-0000:85:02.0-0000:86:00.0-net-ens4f0.device
      5.065s sys-subsystem-net-devices-ens4f0.device
      5.060s sys-devices-pci0000:3a-0000:3a:00.0-0000:3b:00.1-net-ens1f1.device
      5.060s sys-subsystem-net-devices-ens1f1.device
      5.046s sys-devices-pci0000:85-0000:85:02.0-0000:86:00.1-net-ens4f1.device
      5.046s sys-subsystem-net-devices-ens4f1.device
      5.046s sys-subsystem-net-devices-ens1f0.device
      5.046s sys-devices-pci0000:3a-0000:3a:00.0-0000:3b:00.0-net-ens1f0.device
      5.020s dev-disk-by\x2dlabel-rhcos\x2d414.92.202310170514\x2d0.device
      5.020s dev-disk-by\x2ddiskseq-3.device
      5.020s dev-disk-by\x2duuid-2023\x2d12\x2d06\x2d16\x2d24\x2d15\x2d18.device
      4.918s ovs-configuration.service
      4.435s dev-disk-by\x2dpath-pci\x2d0000:18:00.0\x2dscsi\x2d0:2:0:0.device
      4.435s dev-disk-by\x2did-scsi\x2dSDELL_PERC_H730P_MX_00e11dfc287cbd672800e5df47f0a7ce.device
      4.435s sys-devices-pci0000:17-0000:17:00.0-0000:18:00.0-host3-target3:2:0-3:2:0:0-block-sda.device
      4.435s dev-sda.device
      4.435s dev-disk-by\x2did-wwn\x2d0x62cea7f047dfe5002867bd7c28fc1de1.device
      4.435s dev-disk-by\x2did-scsi\x2d362cea7f047dfe5002867bd7c28fc1de1.device
      4.435s dev-disk-by\x2ddiskseq-2.device
      4.327s dev-nvme0n1p1.device
      4.327s sys-devices-virtual-nvme\x2dsubsystem-nvme\x2dsubsys0-nvme0n1-nvme0n1p1.device
      4.327s dev-disk-by\x2did-nvme\x2dDell_Express_Flash_PM1725b_1.6TB_SFF_S5CUNAUN501173\x2dpart1.device
      4.327s dev-disk-by\x2dpartuuid-34e54b8f\x2d8746\x2d4171\x2d9ecb\x2d2b4bf36b1e40.device
      4.327s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
      4.327s dev-disk-by\x2did-nvme\x2deui.354355554e5011730025384100000004\x2dpart1.device
      4.327s dev-disk-by\x2dpath-pci\x2d0000:b1:00.0\x2dnvme\x2d1\x2dpart1.device
      4.312s dev-disk-by\x2dlabel-root.device
      4.312s dev-disk-by\x2dpartuuid-31f1a5a5\x2d676d\x2d41c4\x2d863e\x2dde0613d66ff7.device
      4.312s dev-disk-by\x2dpartlabel-root.device
      4.311s dev-disk-by\x2did-nvme\x2dDell_Express_Flash_PM1725b_1.6TB_SFF_S5CUNAUN501173\x2dpart4.device
      4.311s dev-disk-by\x2dpath-pci\x2d0000:b1:00.0\x2dnvme\x2d1\x2dpart4.device
